,round,accuracy,alpha,repetition,alpha_norm
19,19,0.5019,1000,4,3.0
20,20,0.5001,1000,4,3.0
21,21,0.4977,1000,4,3.0
22,22,0.4922,1000,4,3.0
23,23,0.493,1000,4,3.0
24,24,0.4916,1000,4,3.0
25,25,0.4909,1000,4,3.0
26,26,0.4897,1000,4,3.0
27,27,0.486,1000,4,3.0
28,28,0.4848,1000,4,3.0
29,29,0.4847,1000,4,3.0
30,30,0.4782,1000,4,3.0
31,31,0.4809,1000,4,3.0
32,32,0.4774,1000,4,3.0
33,33,0.4776,1000,4,3.0
34,34,0.4766,1000,4,3.0
35,35,0.4762,1000,4,3.0
36,36,0.4746,1000,4,3.0
37,37,0.4732,1000,4,3.0
38,38,0.4729,1000,4,3.0
39,39,0.4681,1000,4,3.0
40,40,0.4669,1000,4,3.0
0,0,0.0489,100,9,2.0
1,1,0.1949,100,9,2.0
2,2,0.3448,100,9,2.0
3,3,0.4003,100,9,2.0
4,4,0.4377,100,9,2.0
5,5,0.4622,100,9,2.0
6,6,0.4809,100,9,2.0
7,7,0.4919,100,9,2.0
8,8,0.5043,100,9,2.0
9,9,0.5069,100,9,2.0
10,10,0.5086,100,9,2.0
11,11,0.5128,100,9,2.0
12,12,0.5142,100,9,2.0
13,13,0.5116,100,9,2.0
14,14,0.5126,100,9,2.0
15,15,0.5127,100,9,2.0
16,16,0.5138,100,9,2.0
17,17,0.5093,100,9,2.0
18,18,0.5073,100,9,2.0
19,19,0.5069,100,9,2.0
20,20,0.5056,100,9,2.0
21,21,0.4989,100,9,2.0
22,22,0.5008,100,9,2.0
23,23,0.4942,100,9,2.0
24,24,0.4967,100,9,2.0
25,25,0.4962,100,9,2.0
26,26,0.4934,100,9,2.0
27,27,0.4878,100,9,2.0
28,28,0.4862,100,9,2.0
29,29,0.483,100,9,2.0
30,30,0.4797,100,9,2.0
31,31,0.4786,100,9,2.0
32,32,0.4863,100,9,2.0
33,33,0.4796,100,9,2.0
34,34,0.4807,100,9,2.0
